State,District,Latitude,Longitude,Total_world,Total_covid_count,Year_Quarter,col
tamil-nadu,thiruvarur district,10.6878621,79.49794371209825,32378308.92221385,20460,2018-Q1,20460
kerala,thiruvananthapuram district,10.6207081,76.1281782,275202215.5887567,172079,2018-Q1,172079
tamil-nadu,thiruvallur district,13.2533992,80.05462674586394,730210413.6566752,413340,2018-Q1,413340
tamil-nadu,theni district,9.86924895,77.42258419359165,54074355.481018536,33275,2018-Q1,33275
tamil-nadu,the nilgiris district,11.4454657,76.69864649371819,55552425.89904122,29334,2018-Q1,29334
gujarat,the dangs district,20.75,73.75,4783138.826001479,5441,2018-Q1,5441
tamil-nadu,thanjavur district,10.65903695,79.20142776213416,145796314.2349676,88574,2018-Q1,88574
maharashtra,thane district,19.19682175,72.9786988514791,1995816824.673496,1243518,2018-Q1,1243518
tamil-nadu,tenkasi district,9.09407535,77.47583689833286,39439630.85720312,24822,2018-Q1,24822
manipur,tengnoupal district,24.3429852,93.6928709,660028.7721459618,882,2018-Q1,882
uttarakhand,tehri garhwal district,30.5,78.666667,41280388.51120189,28306,2018-Q1,28306
arunachal-pradesh,tawang district,27.6741942,91.93620587613825,5055665.022950603,2334,2018-Q1,2334
punjab,tarn taran district,31.32124525,74.84130629340785,43205533.21603615,23026,2018-Q1,23026
gujarat,tapi district,21.1909141,73.55541085745186,30555640.68796905,29217,2018-Q1,29217
manipur,tamenglong district,24.9855683,93.5025164,1709209.2458958817,1007,2018-Q1,1007
telangana,suryapet district,16.5,78.25,149966933.68164492,122502,2018-Q1,122502
chhattisgarh,surguja district,22.94691345,83.1656942260687,77822921.04137452,68251,2018-Q1,68251
gujarat,surendranagar district,22.823085,71.55342628734127,71735564.99080022,80486,2018-Q1,80486
gujarat,surat district,21.4626896,72.9515165,1346833710.5223992,983723,2018-Q1,983723
chhattisgarh,surajpur district,23.209675,82.880353,34242977.1533452,35573,2018-Q1,35573
bihar,supaul district,25.5,86.25,71313091.35844366,85807,2018-Q1,85807
odisha,sundargarh district,22.25,84.5,185365810.08196712,193041,2018-Q1,193041
uttar-pradesh,sultanpur district,26.2627557,82.069966,109203364.8484112,118235,2018-Q1,118235
chhattisgarh,sukma district,18.3853241,81.65120264041536,6509136.045384104,3825,2018-Q1,3825
jammu-&-kashmir,srinagar district,34.1163836,74.93070225429341,62676256.75828372,47285,2018-Q1,47285
andhra-pradesh,srikakulam district,17.233496,81.7225986,587778028.9183557,458921,2018-Q1,458921
punjab,sri muktsar sahib district,30.2831401,74.52299719797392,54146157.15264935,44697,2018-Q1,44697
andhra-pradesh,spsr nellore district,14.71875825,79.65961022770595,676643237.8069417,531612,2018-Q1,531612
meghalaya,south west khasi hills district,24.3429852,93.6928709,489330.8331522482,319,2018-Q1,319
meghalaya,south west garo hills district,24.3429852,93.6928709,1015597.2351604332,798,2018-Q1,798
delhi,south west district,28.60195304371949,77.035530803848,555900155.5283471,318199,2018-Q1,318199
west-bengal,south twenty four parganas district,30.5,78.666667,349206351.134772,421793,2018-Q1,421793
tripura,south tripura district,23.5,91.666667,13785118.334229631,18338,2018-Q1,18338
assam,south salmara mancachar district,27.4881672,95.3623358,9404471.999163514,8415,2018-Q1,8415
goa,south goa district,15.29079185,73.9549078343693,116748450.3578331,65783,2018-Q1,65783
meghalaya,south garo hills district,24.3429852,93.6928709,807410.0407250253,705,2018-Q1,705
delhi,south east delhi district,28.53562293151731,77.26959444749815,929543692.8225484,562694,2018-Q1,562694
sikkim,south district,27.1709126829,88.3668023,597143870.4750924,334361,2018-Q1,334361
delhi,south district,28.53748398786314,77.19792895694593,16098282.74814038,11355,2018-Q1,11355
andaman-&-nicobar-islands,south andaman district,10.7056905,92.48746789633373,12560249.34366581,5688,2018-Q1,5688
assam,sonitpur district,26.70472375,92.04215071409465,73005566.24909952,51976,2018-Q1,51976
haryana,sonipat district,22.79314,70.88832711034716,279804665.7475828,178766,2018-Q1,178766
odisha,sonepur district,20.8431294,83.90634540989736,33907648.68154905,65573,2018-Q1,65573
uttar-pradesh,sonbhadra district,25.5,81.5,145796020.7087569,133602,2018-Q1,133602
maharashtra,solapur district,17.66787665,75.90672723846026,535791949.0374772,451438,2018-Q1,451438
himachal-pradesh,solan district,30.0,76.75,146873607.4169529,118881,2018-Q1,118881
bihar,siwan district,26.166667,84.5,169228975.706601,129094,2018-Q1,129094
assam,sivasagar district,26.0,93.5,17611863.81889959,16898,2018-Q1,16898
tamil-nadu,sivaganga district,9.851231,78.53047154820717,63944318.44032206,34130,2018-Q1,34130
uttar-pradesh,sitapur district,28.3548882,79.4185378,90293233.21165024,150536,2018-Q1,150536
bihar,sitamarhi district,26.666667,85.5,162281680.1364338,145625,2018-Q1,145625
haryana,sirsa district,28.7312325,75.892349866212,164313975.8712107,164867,2018-Q1,164867
rajasthan,sirohi district,24.8114047,72.83002573160249,74517122.4961609,61986,2018-Q1,61986
himachal-pradesh,sirmaur district,30.75,77.5,43579534.40144637,37721,2018-Q1,37721
madhya-pradesh,singrauli district,21.8611181,80.32141872874212,180771690.5850878,146704,2018-Q1,146704
maharashtra,sindhudurg district,16.11617835,73.69000425158009,44348287.06745251,37285,2018-Q1,37285
jharkhand,simdega district,24.26618475,87.25313851905128,9328083.907140622,6739,2018-Q1,6739
rajasthan,sikar district,27.66241555,75.02799709983499,354268688.0814287,321709,2018-Q1,321709
madhya-pradesh,sidhi district,22.7018563,75.86663524861918,79354632.01562992,61516,2018-Q1,61516
telangana,siddipet district,18.03098145,78.8783964556235,197965017.999628,144429,2018-Q1,144429
uttar-pradesh,siddharthnagar district,26.1561764,81.80450839427581,95934878.04041216,76809,2018-Q1,76809
arunachal-pradesh,siang district,28.477492,94.81655728795752,339471.80434222345,252,2018-Q1,252
uttar-pradesh,shravasti district,25.7506229,84.1472,17770174.11515287,17420,2018-Q1,17420
jammu-&-kashmir,shopian district,33.72078365,74.77142439698211,3598498.6345729744,5083,2018-Q1,5083
madhya-pradesh,shivpuri district,25.37524125,77.82811932629714,59453330.49424065,69731,2018-Q1,69731
karnataka,shivamogga district,13.9326093,75.574978,155561860.94620702,110195,2018-Q1,110195
himachal-pradesh,shimla district,30.75,77.5,84375526.97610706,54161,2018-Q1,54161
arunachal-pradesh,shi yomi district,28.1114301,96.82699963398372,0.0,0,2018-Q1,0
madhya-pradesh,sheopur district,25.6760912,76.7120469,23353770.83795457,26051,2018-Q1,26051
bihar,sheohar district,24.8926007,86.9140729,22183882.57736211,25700,2018-Q1,25700
bihar,sheikhpura district,24.7270817,84.5693914,23630132.07561916,20728,2018-Q1,20728
uttar-pradesh,shamli district,28.630261,77.4133068,62956282.66086191,50512,2018-Q1,50512
madhya-pradesh,shajapur district,23.4207601,76.27436,96403911.7122278,100763,2018-Q1,100763
uttar-pradesh,shahjahanpur district,27.8552433,79.8944047,80844329.2094227,106997,2018-Q1,106997
punjab,shahid bhagat singh nagar district,11.70086195,75.53600908707303,31984799.71713729,20891,2018-Q1,20891
madhya-pradesh,shahdol district,23.3104023,81.3702978,84881495.14477746,64833,2018-Q1,64833
delhi,shahdara district,28.67761171690832,77.290354062108,326458215.3839487,193886,2018-Q1,193886
mizoram,serchhip district,23.3078982,92.8556728,1729998.4078016216,691,2018-Q1,691
tripura,sepahijala district,24.0715915,91.6025823,13224752.635975951,14107,2018-Q1,14107
madhya-pradesh,seoni district,21.6843487,80.2715206,68746483.32036975,82748,2018-Q1,82748
manipur,senapati district,25.333333,94.166667,577840.1682329748,613,2018-Q1,613
madhya-pradesh,sehore district,23.1981078,77.0812948,253627459.6680538,262578,2018-Q1,262578
rajasthan,sawai madhopur district,26.22901855,76.3043561491013,126783052.02130952,151565,2018-Q1,151565
madhya-pradesh,satna district,24.5684403,80.8321439,142054016.7823392,169230,2018-Q1,169230
maharashtra,satara district,17.6913198,74.0094374,264857537.36135083,247012,2018-Q1,247012
punjab,sas nagar district,31.32124525,74.84130629340785,465850273.6343405,285119,2018-Q1,285119
bihar,saran district,25.6085763,85.1993479,171839806.769135,149786,2018-Q1,149786
jharkhand,saraikela kharsawan district,24.26618475,87.25313851905128,74573902.81878725,83449,2018-Q1,83449
uttar-pradesh,sant kabeer nagar district,28.8067822,79.0140742,59126397.10591885,57222,2018-Q1,57222
punjab,sangrur district,31.32124525,74.84130629340785,118420389.5279365,89227,2018-Q1,89227
maharashtra,sangli district,16.8425456,74.60920165585244,241538564.2888379,231021,2018-Q1,231021
telangana,sangareddy district,19.1040149,78.340105,399236233.1575477,291510,2018-Q1,291510
uttar-pradesh,sambhal district,26.1561764,81.80450839427581,61975314.16828516,53722,2018-Q1,53722
odisha,sambalpur district,21.4,83.883333,130860854.9575344,135539,2018-Q1,135539
jammu-&-kashmir,samba district,32.57591175,75.12034455530063,21534891.0416242,14795,2018-Q1,14795
bihar,samastipur district,25.75,85.916667,213634124.8258972,222241,2018-Q1,222241
tamil-nadu,salem district,11.64696155,78.21069575456464,375963971.6782604,219916,2018-Q1,219916
mizoram,saiha district,23.481,93.309599,2188550.572811981,482,2018-Q1,482
jharkhand,sahebganj district,25.032043700000003,87.69143108001742,44038697.06983768,30741,2018-Q1,30741
bihar,saharsa district,25.8875611,86.5901104,82038819.77477607,88087,2018-Q1,88087
uttar-pradesh,saharanpur district,29.95566895,77.5596488632492,190242510.5856398,201611,2018-Q1,201611
madhya-pradesh,sagar district,21.5479393,79.5481447,158907811.381955,217079,2018-Q1,217079
gujarat,sabar kantha district,23.8689411,73.01447412154508,88114407.80209638,105266,2018-Q1,105266
punjab,rupnagar district,30.2102325,73.9925288,51094982.22818903,33059,2018-Q1,33059
uttarakhand,rudraprayag district,30.2864682,78.9814996,12517358.3009158,10107,2018-Q1,10107
bihar,rohtas district,24.93928775,84.01945448852067,181378994.9786085,201231,2018-Q1,201231
haryana,rohtak district,28.8995429,76.5844714,215207976.23801097,121728,2018-Q1,121728
meghalaya,ribhoi district,24.3429852,93.6928709,8736566.953918608,6029,2018-Q1,6029
haryana,rewari district,28.2169291,76.58118448832133,280095218.8487885,199418,2018-Q1,199418
madhya-pradesh,rewa district,23.1689247,80.03308113718485,249549304.77768272,210786,2018-Q1,210786
jammu-&-kashmir,reasi district,33.20599085,74.862679360101,12816155.33273841,7433,2018-Q1,7433
odisha,rayagada district,19.1643623,83.4077243,63041849.54983255,57875,2018-Q1,57875
maharashtra,ratnagiri district,16.9883802,73.2993118160657,68234354.14796054,57950,2018-Q1,57950
madhya-pradesh,ratlam district,22.71673845,75.88149165574566,147489689.599983,128218,2018-Q1,128218
tamil-nadu,ranipet district,12.91862425,79.40819212569048,68782429.03208953,50346,2018-Q1,50346
telangana,rangareddy district,16.5,78.25,2677304926.137567,1459174,2018-Q1,1459174
jharkhand,ranchi district,23.0,85.0,434234048.4962647,356622,2018-Q1,356622
uttar-pradesh,rampur district,28.79406825,79.1859304458554,67896658.68947415,89298,2018-Q1,89298
jharkhand,ramgarh district,34.5140696,74.19136702721829,85844869.66475454,97459,2018-Q1,97459
jammu-&-kashmir,ramban district,33.33328915,75.19847626653356,7284248.818676664,5326,2018-Q1,5326
tamil-nadu,ramanathapuram district,9.5205576,78.51846345155016,45696810.24106984,24581,2018-Q1,24581
karnataka,ramanagara district,12.72465905,77.32018505519862,195057353.0378645,124329,2018-Q1,124329
rajasthan,rajsamand district,25.2892459,73.8241077454327,89471009.74090861,56704,2018-Q1,56704
jammu-&-kashmir,rajouri district,33.26636775,74.34384695789798,16045672.10644644,10199,2018-Q1,10199
chhattisgarh,rajnandgaon district,21.166667,81.0,79830832.05145703,73040,2018-Q1,73040
gujarat,rajkot district,22.8159425,70.8316013,296803513.78809375,219190,2018-Q1,219190
madhya-pradesh,rajgarh district,25.3338446,77.5083732,149723488.7683494,131433,2018-Q1,131433
telangana,rajanna sircilla district,19.1040149,78.340105,96136732.16955988,68682,2018-Q1,68682
madhya-pradesh,raisen district,23.3331473,77.7801239,124143402.5560421,157756,2018-Q1,157756
chhattisgarh,raipur district,21.2317387,81.6401796,474633363.89817554,323570,2018-Q1,323570
chhattisgarh,raigarh district,22.23617945,83.35295335037318,140463994.7227481,133135,2018-Q1,133135
maharashtra,raigad district,20.1700227,79.97914161206661,481978060.4382123,310127,2018-Q1,310127
karnataka,raichur district,16.054719400000003,76.90160088383311,181240414.7069753,131182,2018-Q1,131182
uttar-pradesh,rae bareli district,26.25,81.25,83209946.42774141,91518,2018-Q1,91518
west-bengal,purulia district,23.3409582,86.359433,86934374.95930237,234356,2018-Q1,234356
bihar,purnia district,25.774436,87.410032125,139947209.01716912,132262,2018-Q1,132262
odisha,puri district,19.8142712,85.8299503,173702320.31741902,279071,2018-Q1,279071
bihar,purbi champaran district,24.8926007,86.9140729,264192918.45434484,254643,2018-Q1,254643
west-bengal,purba medinipur district,22.2788123,87.92250435718134,380534345.7354028,516243,2018-Q1,516243
west-bengal,purba bardhaman district,30.5,78.666667,212356023.73788372,396998,2018-Q1,396998
maharashtra,pune district,18.527863,73.85568328231989,5378982326.835919,3842929,2018-Q1,3842929
jammu-&-kashmir,pulwama district,33.9490472,75.04183347471374,24777476.30844358,35793,2018-Q1,35793
tamil-nadu,pudukkottai district,10.2903072,78.81736165831396,65083487.93183672,35973,2018-Q1,35973
puducherry,puducherry district,11.92201155,79.7951365161579,136205607.9458232,86486,2018-Q1,86486
uttar-pradesh,prayagraj district,25.5,81.5,652988000.3586867,628453,2018-Q1,628453
rajasthan,pratapgarh district,24.02181175,74.62410748793954,35625792.16149665,32262,2018-Q1,32262
uttar-pradesh,pratapgarh district,25.9219600442,82.0024335326,96708177.78152454,118509,2018-Q1,118509
andhra-pradesh,prakasam district,15.2282086,79.87449940066091,748990775.8676485,534757,2018-Q1,534757
gujarat,porbandar district,21.6021982,69.85433746437499,28254689.4826448,16381,2018-Q1,16381
jammu-&-kashmir,poonch district,33.702939,74.24990151547188,509120439.3079825,398963,2018-Q1,398963
uttarakhand,pithoragarh district,30.12666775,80.48338013734374,19129399.86161669,18593,2018-Q1,18593
uttar-pradesh,pilibhit district,28.49520765,80.10754080018077,59744410.61462423,83803,2018-Q1,83803
manipur,pherzawl district,24.2634436330316,93.19096471191015,778.0896294258192,2,2018-Q1,2
nagaland,phek district,25.709953650000003,94.46436151085854,1347986.0495203384,1397,2018-Q1,1397
nagaland,peren district,25.5354667,93.7352403,1228042.9089448638,587,2018-Q1,587
tamil-nadu,perambalur district,11.2902641,78.9300404012642,19364164.45474417,13293,2018-Q1,13293
telangana,peddapalle district,19.1040149,78.340105,199610181.1780959,169274,2018-Q1,169274
uttarakhand,pauri garhwal district,30.1507888,78.7737617,58626307.50357637,49412,2018-Q1,49412
bihar,patna district,25.46737665,85.19581528126407,1282492050.639251,1197281,2018-Q1,1197281
punjab,patiala district,30.1407973,74.2001558,216716752.3274328,131111,2018-Q1,131111
punjab,pathankot district,32.301710400000005,75.65864246622084,81047251.32470225,51474,2018-Q1,51474
kerala,pathanamthitta district,9.3675015,76.6586492,44871379.63442598,35435,2018-Q1,35435
gujarat,patan district,20.96661175,70.42921752675778,81974812.41577709,105705,2018-Q1,105705
bihar,pashchim champaran district,27.0,84.5,236190496.6430266,215866,2018-Q1,215866
west-bengal,paschim medinipur district,21.8360051,87.4317229,286483484.5978188,419331,2018-Q1,419331
west-bengal,paschim bardhaman district,26.4811994,89.5279728,298947240.5775568,350033,2018-Q1,350033
maharashtra,parbhani district,19.2713708,76.7644813,109058549.633701,126868,2018-Q1,126868
arunachal-pradesh,papum pare district,27.5013437,96.5242944,32555848.46233147,14224,2018-Q1,14224
madhya-pradesh,panna district,24.7172329,80.1873717,27325866.56663143,37817,2018-Q1,37817
haryana,panipat district,28.7312325,75.892349866212,263054774.7449156,183960,2018-Q1,183960
haryana,panchkula district,30.7108567,76.845983,142847688.49278012,86298,2018-Q1,86298
gujarat,panch mahals district,23.0,74.0,65556534.78851059,86317,2018-Q1,86317
haryana,palwal district,29.6943382,77.00424800442084,145340107.56054282,97942,2018-Q1,97942
rajasthan,pali district,25.6051226,73.41650554658088,141412669.85341722,111172,2018-Q1,111172
maharashtra,palghar district,20.1700227,79.97914161206661,432288177.5824667,316766,2018-Q1,316766
jharkhand,palamu district,23.916667,84.083333,128141542.2688809,84608,2018-Q1,84608
kerala,palakkad district,10.78789845,76.47408711165895,155278345.5406727,119324,2018-Q1,119324
jharkhand,pakur district,23.916667,84.083333,10639883.90458078,17321,2018-Q1,17321
arunachal-pradesh,pakke kessang district,27.1061731,92.9311395,9131.4042057372,9,2018-Q1,9
maharashtra,osmanabad district,18.18788,76.035779,137513718.00884372,129616,2018-Q1,129616
odisha,nuapada district,20.7990808,82.5346304,16219184.747249331,22483,2018-Q1,22483
delhi,north west district,28.7022706718,77.105726065556,614242861.0675646,387431,2018-Q1,387431
west-bengal,north twenty four parganas district,23.3409582,86.359433,1282978629.104089,1235602,2018-Q1,1235602
tripura,north tripura district,23.9922833,91.856786,10869174.62660154,9915,2018-Q1,9915
goa,north goa district,15.5368654988401,73.86949663890636,187108291.9852504,95114,2018-Q1,95114
meghalaya,north garo hills district,24.3429852,93.6928709,652554.6654640209,922,2018-Q1,922
delhi,north east district,28.70729655487928,77.266131587231,261468886.5374215,180160,2018-Q1,180160
delhi,north district,28.72837890951385,77.1672315398,574580634.2506722,361539,2018-Q1,361539
sikkim,north district,27.504893699,88.53981499,5176776.803176152,3446,2018-Q1,3446
andaman-&-nicobar-islands,north and middle andaman district,11.55482845,92.23849,931663.0770939871,442,2018-Q1,442
manipur,noney district,17.6913198,74.0094374,747261.2810295916,646,2018-Q1,646
telangana,nizamabad district,18.6687404,78.0989938,174181538.057294,140986,2018-Q1,140986
madhya-pradesh,niwari district,25.5575031,78.1466102,12106652.7838822,20669,2018-Q1,20669
telangana,nirmal district,19.1040149,78.340105,86249120.42652902,63804,2018-Q1,63804
andaman-&-nicobar-islands,nicobars district,10.7056905,92.48746789633373,1139848.801225994,528,2018-Q1,528
delhi,new delhi district,28.6162182361102,77.20963693950131,1478916789.169149,883737,2018-Q1,883737
madhya-pradesh,neemuch district,25.6760912,76.7120469,64779675.82075251,73718,2018-Q1,73718
odisha,nayagarh district,20.1280409,85.1066485,109752751.41762152,195162,2018-Q1,195162
bihar,nawada district,24.7270817,84.5693914,81161592.44495997,78480,2018-Q1,78480
gujarat,navsari district,20.952407,72.9323831,229707588.7171033,159975,2018-Q1,159975
maharashtra,nashik district,19.9969676,73.7782466,874435847.1021329,669259,2018-Q1,669259
madhya-pradesh,narsinghpur district,22.9492648,79.1856846,87244331.64517592,116931,2018-Q1,116931
gujarat,narmada district,21.73830395,73.62736015921328,15120948.42838736,13920,2018-Q1,13920
chhattisgarh,narayanpur district,19.723781,81.2336786,2964107.201561708,2998,2018-Q1,2998
telangana,narayanpet district,10.6878621,79.49794371209825,42264263.62486112,38804,2018-Q1,38804
maharashtra,nandurbar district,21.3386847,74.2344823,70543831.7235167,60163,2018-Q1,60163
maharashtra,nanded district,19.15915835,77.3032699373139,195376791.8041686,221472,2018-Q1,221472
arunachal-pradesh,namsai district,27.6741942,91.93620587613825,2162984.705083958,1400,2018-Q1,1400
tamil-nadu,namakkal district,11.30338895,78.1186040211884,178022610.2001903,99497,2018-Q1,99497
telangana,nalgonda district,17.0557615,79.2779955,267825160.5037025,204137,2018-Q1,204137
assam,nalbari district,25.083333,92.916667,12393870.99254189,16878,2018-Q1,16878
bihar,nalanda district,25.4374355,85.2919909,190613485.9647957,208901,2018-Q1,208901
uttarakhand,nainital district,29.2185482,79.52951525,116698562.4836787,106949,2018-Q1,106949
maharashtra,nagpur district,21.1170373,79.1045331,781981176.1740795,592456,2018-Q1,592456
rajasthan,nagaur district,27.05890605,74.1760832159963,245926094.944892,226358,2018-Q1,226358
telangana,nagarkurnool district,19.1040149,78.340105,157664183.85690182,83679,2018-Q1,83679
tamil-nadu,nagapattinam district,10.60262025,79.7619347994777,46160213.43216584,25394,2018-Q1,25394
assam,nagaon district,27.4881672,95.3623358,56352631.29147629,66695,2018-Q1,66695
west-bengal,nadia district,23.4056806,88.4913312,307840167.7091276,549427,2018-Q1,549427
odisha,nabarangpur district,19.2288319,82.5668344,32425549.03254462,29925,2018-Q1,29925
karnataka,mysuru district,12.1988434,76.61353212165531,515455840.3810141,331051,2018-Q1,331051
bihar,muzaffarpur district,26.1667052,85.4166314,394717112.59667057,388401,2018-Q1,388401
uttar-pradesh,muzaffarnagar district,27.8552433,79.8944047,174688164.73651972,141166,2018-Q1,141166
jammu-&-kashmir,muzaffarabad district,30.0417376,79.089691,14559.8034061516,13,2018-Q1,13
west-bengal,murshidabad district,24.08632855,88.26684963941861,421068895.86841553,833479,2018-Q1,833479
bihar,munger district,25.3795105,86.4626467597708,64455596.263603695,64639,2018-Q1,64639
chhattisgarh,mungeli district,20.2647118,81.4951987,15819138.351462012,19819,2018-Q1,19819
maharashtra,mumbai suburban district,19.2713708,76.7644813,2385242801.288171,1444587,2018-Q1,1444587
maharashtra,mumbai district,19.0517979,72.8292773,3923116793.952079,2671029,2018-Q1,2671029
telangana,mulugu district,16.5,78.25,42538489.479959294,26582,2018-Q1,26582
madhya-pradesh,morena district,26.4961372,77.9986659,106573744.5790159,107452,2018-Q1,107452
gujarat,morbi district,22.79314,70.88832711034716,70378385.89627899,58217,2018-Q1,58217
uttar-pradesh,moradabad district,29.0786044,79.0507168,214140867.6438931,144223,2018-Q1,144223
nagaland,mon district,26.7238973,95.0287876,2962723.1216541342,1851,2018-Q1,1851
